case_key,case_name,mc_mode,mc_iterations,repeat_id,elicitation_id,alternative,rank1_probability
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,100,4,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,200,0,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,200,1,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,200,2,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,200,3,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,200,4,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,200,4,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,200,4,pooled,Genoa,0.0
