case_key,case_name,mc_mode,mc_iterations,repeat_id,wallclock_seconds
05,05-analytically-tractable-verification,strict,50,1,0.0042
05,05-analytically-tractable-verification,strict,50,2,0.0042
05,05-analytically-tractable-verification,strict,50,3,0.0042
05,05-analytically-tractable-verification,strict,50,4,0.0041
05,05-analytically-tractable-verification,strict,100,0,0.008
05,05-analytically-tractable-verification,strict,100,1,0.0081
05,05-analytically-tractable-verification,strict,100,2,0.0081
05,05-analytically-tractable-verification,strict,100,3,0.0082
05,05-analytically-tractable-verification,strict,100,4,0.0081
05,05-analytically-tractable-verification,strict,200,0,0.0164
05,05-analytically-tractable-verification,strict,200,1,0.016
05,05-analytically-tractable-verification,strict,200,2,0.0163
05,05-analytically-tractable-verification,strict,200,3,0.0161
05,05-analytically-tractable-verification,strict,200,4,0.0159
05,05-analytically-tractable-verification,strict,500,0,0.0398
05,05-analytically-tractable-verification,strict,500,1,0.0396
05,05-analytically-tractable-verification,strict,500,2,0.0399
05,05-analytically-tractable-verification,strict,500,3,0.0399
05,05-analytically-tractable-verification,strict,500,4,0.0397
05,05-analytically-tractable-verification,strict,1000,0,0.0793
05,05-analytically-tractable-verification,strict,1000,1,0.0799
05,05-analytically-tractable-verification,strict,1000,2,0.078
05,05-analytically-tractable-verification,strict,1000,3,0.0783
05,05-analytically-tractable-verification,strict,1000,4,0.0782
05,05-analytically-tractable-verification,strict,2000,0,0.1568
05,05-analytically-tractable-verification,strict,2000,1,0.1605
05,05-analytically-tractable-verification,strict,2000,2,0.1649
05,05-analytically-tractable-verification,strict,2000,3,0.1574
05,05-analytically-tractable-verification,strict,2000,4,0.1613
05,05-analytically-tractable-verification,strict,5000,0,0.4105
05,05-analytically-tractable-verification,strict,5000,1,0.4054
05,05-analytically-tractable-verification,strict,5000,2,0.4068
05,05-analytically-tractable-verification,strict,5000,3,0.4173
05,05-analytically-tractable-verification,strict,5000,4,0.414
05,05-analytically-tractable-verification,strict,10000,0,0.8601
05,05-analytically-tractable-verification,strict,10000,1,0.8602
05,05-analytically-tractable-verification,strict,10000,2,0.8607
05,05-analytically-tractable-verification,strict,10000,3,0.8589
05,05-analytically-tractable-verification,strict,10000,4,0.8525
05,05-analytically-tractable-verification,non_strict,50,0,0.0063
05,05-analytically-tractable-verification,non_strict,50,1,0.0064
05,05-analytically-tractable-verification,non_strict,50,2,0.0064
05,05-analytically-tractable-verification,non_strict,50,3,0.0062
05,05-analytically-tractable-verification,non_strict,50,4,0.0062
05,05-analytically-tractable-verification,non_strict,100,0,0.0121
05,05-analytically-tractable-verification,non_strict,100,1,0.0121
05,05-analytically-tractable-verification,non_strict,100,2,0.0121
05,05-analytically-tractable-verification,non_strict,100,3,0.0121
05,05-analytically-tractable-verification,non_strict,100,4,0.0123
05,05-analytically-tractable-verification,non_strict,200,0,0.0244
05,05-analytically-tractable-verification,non_strict,200,1,0.0243
05,05-analytically-tractable-verification,non_strict,200,2,0.0243
05,05-analytically-tractable-verification,non_strict,200,3,0.0255
05,05-analytically-tractable-verification,non_strict,200,4,0.025
05,05-analytically-tractable-verification,non_strict,500,0,0.0605
05,05-analytically-tractable-verification,non_strict,500,1,0.0599
05,05-analytically-tractable-verification,non_strict,500,2,0.0602
05,05-analytically-tractable-verification,non_strict,500,3,0.061
05,05-analytically-tractable-verification,non_strict,500,4,0.0611
05,05-analytically-tractable-verification,non_strict,1000,0,0.121
05,05-analytically-tractable-verification,non_strict,1000,1,0.1225
05,05-analytically-tractable-verification,non_strict,1000,2,0.1244
05,05-analytically-tractable-verification,non_strict,1000,3,0.1223
05,05-analytically-tractable-verification,non_strict,1000,4,0.1229
05,05-analytically-tractable-verification,non_strict,2000,0,0.2435
05,05-analytically-tractable-verification,non_strict,2000,1,0.2447
05,05-analytically-tractable-verification,non_strict,2000,2,0.248
05,05-analytically-tractable-verification,non_strict,2000,3,0.2466
05,05-analytically-tractable-verification,non_strict,2000,4,0.2475
05,05-analytically-tractable-verification,non_strict,5000,0,0.6312
05,05-analytically-tractable-verification,non_strict,5000,1,0.619
